Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
12,32 = 33,511204255,24,364,8.64,F
12,32 = 33,511201985,24,364,8.64,F
12,34,511202526,23,353,7.02,F
13,1,511302540,92,768,99.63,A
13,2,511300868,86,717,98.52,A-
13,3,511302503,83,702,97.86,A-
13,4,511300680,67,626,89.66,B-
13,5,511302011,65,617,87.89,B-
13,6 = 7,511300870,64,612,87.12,B-
13,6 = 7,511300320,64,612,87.12,B-
13,8,511300905,63,609,86.2,B-
13,9,511302468,61,601,84.47,B-
13,10,511300238,53,570,75.93,C
13,11,511300760,51,561,72.88,C
13,12,511300710,50,555,71.04,C
13,13,511300653,48,543,66.74,C-
13,14,511300790,46,532,62.58,C-
13,15 = 16,511300250,45,528,60.92,C-
13,15 = 16,511300220,45,528,60.92,C-
13,17,511300020,44,522,58.86,C-
13,18,511300972,42,509,53.56,C-
13,19,511300816,37,472,38.96,D
13,20,511300117,35,458,33.81,D
13,21,511301703,33,440,27.29,D-
13,22 = 23,511302182,32,431,24.42,D-
13,22 = 23,511300241,32,431,24.42,D-
13,24 = 25,511300083,30,416,20.16,D-
13,24 = 25,511300756,30,416,20.16,D-
13,26 = 27,511300068,29,408,17.99,D-
13,26 = 27,511301907,29,408,17.99,D-
13,28,511300094,28,401,16.15,D-
13,29 = 30,511300656,27,393,14.31,F
13,29 = 30,511302400,27,393,14.31,F
13,31,511300805,26,385,12.28,F
14,1,511400443,93,780,99.74,A
14,2,511400197,88,725,98.82,A-
14,3,511400094,80,683,96.65,B
14,4,511400128,75,659,94.44,B
14,5,511400019,73,650,93.37,B
14,6,511400451,64,612,87.12,B-
14,7,511401263,63,609,86.2,B-
14,8,511400031,62,605,85.39,B-
14,9,511400037,61,601,84.47,B-
14,10,511400014,50,555,71.04,C
14,11,511401316,41,502,50.99,C-
14,12,511401306,39,487,44.84,D
14,13,511400001,26,385,12.28,F
15,1 = 2,511501122,80,683,96.65,B
15,1 = 2,511501459,80,683,96.65,B
15,3,511500416,72,645,92.67,B-
15,4,511500581,70,635,91.13,B-
15,5,511500588,61,601,84.47,B-
15,6,511500451,57,585,80.35,C
15,7,511500595,54,576,77.55,C
15,8 = 9,511500535,52,566,74.39,C
15,8 = 9,511500226,52,566,74.39,C
15,10,511501695,50,555,71.04,C
15,11,511500597,48,543,66.74,C-
15,12,511500039,46,532,62.58,C-
15,13,511500356,41,502,50.99,C-
15,14,511500012,39,487,44.84,D
15,15 = 17,511500799,37,472,38.96,D
15,15 = 17,511500195,37,472,38.96,D
15,15 = 17,511500985,37,472,38.96,D
15,18,511500739,32,431,24.42,D-
15,19,511500810,31,423,22.18,D-
15,20,511501454,30,416,20.16,D-
15,21,511500245,28,401,16.15,D-
15,22,511500309,27,393,14.31,F
15,23 = 24,511500579,23,353,7.02,F
15,23 = 24,511500655,23,353,7.02,F
15,25 = 26,511502022,20,317,3.38,F
15,25 = 26,511501223,20,317,3.38,F
16,1,511601478,90,739,99.15,A-
16,2,511601614,75,659,94.44,B
16,3,511601920,74,654,93.81,B
16,4,511600799,72,645,92.67,B-
16,5,511600060,71,639,91.83,B-
16,6,511601540,51,561,72.88,C
16,7,511601052,48,543,66.74,C-
16,8,511600970,45,528,60.92,C-
16,9,511601326,39,487,44.84,D
17,1,511700530,71,639,91.83,B-
17,2,511700398,61,601,84.47,B-
17,3,511700415,49,550,69.05,C
17,4 = 5,511700627,47,537,64.42,C-
17,4 = 5,511702200,47,537,64.42,C-
17,6 = 7,511700429,38,480,41.9,D
17,6 = 7,511700412,38,480,41.9,D
17,8,511700413,29,408,17.99,D-
