Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
23,81 = 88,512505240,77,604,85.13,B-
23,89 = 93,512503657,76,597,83.43,C
23,89 = 93,512504148,76,597,83.43,C
23,89 = 93,512800915,76,597,83.43,C
23,89 = 93,513100386,76,597,83.43,C
23,89 = 93,513104169,76,597,83.43,C
23,94 = 100,512401997,75,592,82.17,C
23,94 = 100,512702062,75,592,82.17,C
23,94 = 100,512900791,75,592,82.17,C
23,94 = 100,512904402,75,592,82.17,C
23,94 = 100,512404855,75,592,82.17,C
23,94 = 100,512704246,75,592,82.17,C
23,94 = 100,512600343,75,592,82.17,C
23,101 = 105,512503457,74,587,80.83,C
23,101 = 105,512703083,74,587,80.83,C
23,101 = 105,513001557,74,587,80.83,C
23,101 = 105,513001424,74,587,80.83,C
23,101 = 105,512500445,74,587,80.83,C
23,106 = 114,512500514,73,582,79.48,C
23,106 = 114,512400875,73,582,79.48,C
23,106 = 114,512801299,73,582,79.48,C
23,106 = 114,513101327,73,582,79.48,C
23,106 = 114,512400995,73,582,79.48,C
23,106 = 114,512701275,73,582,79.48,C
23,106 = 114,512703305,73,582,79.48,C
23,106 = 114,512402462,73,582,79.48,C
23,106 = 114,512704898,73,582,79.48,C
23,115 = 123,512503903,72,577,78.01,C
23,115 = 123,512503454,72,577,78.01,C
23,115 = 123,512702369,72,577,78.01,C
23,115 = 123,512703115,72,577,78.01,C
23,115 = 123,512803270,72,577,78.01,C
23,115 = 123,512701443,72,577,78.01,C
23,115 = 123,512801053,72,577,78.01,C
23,115 = 123,512800739,72,577,78.01,C
23,115 = 123,513104376,72,577,78.01,C
23,124 = 128,512702010,71,572,76.48,C
23,124 = 128,512803551,71,572,76.48,C
23,124 = 128,512405017,71,572,76.48,C
23,124 = 128,512507509,71,572,76.48,C
23,124 = 128,512902659,71,572,76.48,C
23,129 = 132,512504557,70,569,75.4,C
23,129 = 132,512900229,70,569,75.4,C
23,129 = 132,513000353,70,569,75.4,C
23,129 = 132,512500842,70,569,75.4,C
23,133 = 140,512701970,69,566,74.4,C
23,133 = 140,512401848,69,566,74.4,C
23,133 = 140,512503108,69,566,74.4,C
23,133 = 140,512501531,69,566,74.4,C
23,133 = 140,512803128,69,566,74.4,C
23,133 = 140,512504537,69,566,74.4,C
